Misconception,Samples,Hits,HitRate
Certainty,18,18,1.0
Definition,54,52,0.9629629629629629
Whole_numbers_larger,329,314,0.9544072948328267
Division,63,58,0.9206349206349206
Shorter_is_bigger,23,21,0.9130434782608695
Base_rate,23,21,0.9130434782608695
FlipChange,78,70,0.8974358974358975
Incorrect_equivalent_fraction_addition,9,8,0.8888888888888888
Multiplying_by_4,96,85,0.8854166666666666
Scale,179,157,0.8770949720670391
Positive,566,494,0.872791519434629
Mult,353,308,0.8725212464589235
Subtraction,620,537,0.8661290322580645
SwapDividend,206,178,0.8640776699029126
Tacking,290,249,0.8586206896551725
Wrong_term,558,478,0.8566308243727598
WNB,299,254,0.8494983277591973
Unknowable,282,235,0.8333333333333334
Longer_is_bigger,24,20,0.8333333333333334
Adding_across,307,251,0.8175895765472313
Incomplete,1454,1164,0.8005502063273727
Denominator-only_change,336,267,0.7946428571428571
Ignores_zeroes,23,18,0.782608695652174
Wrong_fraction,418,323,0.7727272727272727
Adding_terms,97,72,0.7422680412371134
Firstterm,107,76,0.7102803738317757
Irrelevant,497,352,0.7082494969818913
Inversion,414,292,0.7053140096618358
Additive,929,651,0.7007534983853606
Interior,50,35,0.7
Duplication,704,483,0.6860795454545454
Wrong_Fraction,273,185,0.6776556776556777
Wrong_Operation,6,4,0.6666666666666666
Inverse_operation,21,13,0.6190476190476191
Not_variable,154,91,0.5909090909090909
,26836,14724,0.548665971083619
