Misconception,Samples_old,Hits_old,HitRate_old,Samples_new,Hits_new,HitRate_new,ΔHitRate,ΔHits
Incomplete,1454,1057,0.7269601100412655,1454,1164,0.8005502063273727,0.07359009628610724,107
Certainty,18,18,1.0,18,18,1.0,0.0,0
Definition,54,52,0.9629629629629628,54,52,0.9629629629629628,0.0,0
Denominator-only_change,336,267,0.7946428571428571,336,267,0.7946428571428571,0.0,0
Ignores_zeroes,23,18,0.782608695652174,23,18,0.782608695652174,0.0,0
Wrong_fraction,418,323,0.7727272727272727,418,323,0.7727272727272727,0.0,0
Adding_terms,97,72,0.7422680412371134,97,72,0.7422680412371134,0.0,0
Firstterm,107,76,0.7102803738317757,107,76,0.7102803738317757,0.0,0
Irrelevant,497,352,0.7082494969818913,497,352,0.7082494969818913,0.0,0
Inversion,414,292,0.7053140096618358,414,292,0.7053140096618358,0.0,0
Additive,929,651,0.7007534983853606,929,651,0.7007534983853606,0.0,0
Interior,50,35,0.7,50,35,0.7,0.0,0
Duplication,704,483,0.6860795454545454,704,483,0.6860795454545454,0.0,0
Wrong_Fraction,273,185,0.6776556776556777,273,185,0.6776556776556777,0.0,0
Wrong_Operation,6,4,0.6666666666666666,6,4,0.6666666666666666,0.0,0
Inverse_operation,21,13,0.6190476190476191,21,13,0.6190476190476191,0.0,0
Not_variable,154,91,0.5909090909090909,154,91,0.5909090909090909,0.0,0
Adding_across,307,251,0.8175895765472313,307,251,0.8175895765472313,0.0,0
Longer_is_bigger,24,20,0.8333333333333334,24,20,0.8333333333333334,0.0,0
Unknowable,282,235,0.8333333333333334,282,235,0.8333333333333334,0.0,0
Multiplying_by_4,96,85,0.8854166666666666,96,85,0.8854166666666666,0.0,0
Whole_numbers_larger,329,314,0.9544072948328268,329,314,0.9544072948328268,0.0,0
Division,63,58,0.9206349206349206,63,58,0.9206349206349206,0.0,0
Shorter_is_bigger,23,21,0.9130434782608696,23,21,0.9130434782608696,0.0,0
Base_rate,23,21,0.9130434782608696,23,21,0.9130434782608696,0.0,0
FlipChange,78,70,0.8974358974358975,78,70,0.8974358974358975,0.0,0
Incorrect_equivalent_fraction_addition,9,8,0.8888888888888888,9,8,0.8888888888888888,0.0,0
Scale,179,157,0.8770949720670391,179,157,0.8770949720670391,0.0,0
WNB,299,254,0.8494983277591973,299,254,0.8494983277591973,0.0,0
Positive,566,494,0.872791519434629,566,494,0.872791519434629,0.0,0
Mult,353,308,0.8725212464589235,353,308,0.8725212464589235,0.0,0
Subtraction,620,537,0.8661290322580645,620,537,0.8661290322580645,0.0,0
SwapDividend,206,178,0.8640776699029126,206,178,0.8640776699029126,0.0,0
Tacking,290,249,0.8586206896551725,290,249,0.8586206896551725,0.0,0
Wrong_term,558,478,0.8566308243727598,558,478,0.8566308243727598,0.0,0
,26836,14724,0.548665971083619,26836,14724,0.548665971083619,0.0,0
